store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;12214;3397;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12207;3200;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10450;3190;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08856;3149;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11397;3094;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08095;3038;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07208;3035;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ02932;3003;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;12040;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C2305;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C4358;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;C4359;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;HF30534-A;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05450;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ07189;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08091;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ08093;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09397;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09669;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10407;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10411;3000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11486;2997;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;6934;2960;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2211;2889;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04285;2800;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ09396;2700;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10375;2700;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;1799;2692;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11608;2630;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ04350;2612;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11830;2604;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05750;2600;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11837;2500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10845;2450;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10846;2400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05445;2400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
